Principal Components,Score,Time
1.0,0.49,25.85
2.0,0.5,12.12
3.0,0.51,9.79
4.0,0.52,15.9
5.0,0.54,12.11
6.0,0.55,12.89
7.0,0.55,13.02
8.0,0.55,13.52
9.0,0.56,15.72
10.0,0.57,15.27
11.0,0.57,15.05
12.0,0.6,16.72
13.0,0.61,15.64
14.0,0.6,15.21
15.0,0.61,14.76
16.0,0.64,20.15
17.0,0.64,19.81
18.0,0.67,19.31
19.0,0.68,19.3
20.0,0.7,19.09
21.0,0.7,19.14
22.0,0.7,19.19
23.0,0.7,18.94
24.0,0.7,18.5
25.0,0.7,22.39
26.0,0.7,38.34
27.0,0.7,30.76
28.0,0.7,23.63
29.0,0.7,23.46
30.0,0.7,25.78
31.0,0.72,22.72
32.0,0.72,21.99
