,SMA,EMA,BBAND_Upper,BBAND_Middle,BBAND_Lower,HT_TRENDLINE,SAR,RSI,MOM,ROC,ROCP,STOCH_SLOWK,STOCH_SLOWD,MACD,MACDSIGNAL,MACDHIST,OBV,AD,ADOSC,HT_DCPERIOD,HT_TRENDMODE,AVGPRICE,TYPPRICE,ATR,BETA,LINEARREG,VAR,EXP,LN,CDLENGULFING,CDLDOJI,CDLHAMMER,CDLHANGINGMAN
SMA,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
EMA,0.9997552311354914,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Upper,0.9972335077502125,0.997050999767226,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Middle,1.0,0.9997552311354914,0.9972335077502125,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Lower,0.9971101760880424,0.9968007274482411,0.9887232550971535,0.9971101760880424,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_TRENDLINE,0.995437201922561,0.9956284221450061,0.99417683709882,0.995437201922561,0.9910680086185355,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SAR,-0.6901664344263592,-0.6905177437326153,-0.6896818578458438,-0.6901664344263592,-0.6874122286501387,-0.6902280430164834,0.9722222222222222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RSI,0.04115621305279979,0.0492673052851225,0.03356646039127169,0.04115621305279979,0.04867612584391557,-0.010956159407536673,-0.03373491705286781,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MOM,0.036637043331370106,0.04949999185316313,0.030598816958024824,0.036637043331370106,0.04258355254843921,-0.00461260959030257,-0.0345627940804449,0.7863782756777903,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ROC,-0.003962890394396211,0.00783007321684215,-0.00752118075791125,-0.003962890394396211,-0.0003424829900749677,-0.041955671676426186,-0.0021195017802365574,0.7655055450715975,0.9020861987477882,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ROCP,-0.003962890394396202,0.007830073216842178,-0.007521180757911244,-0.003962890394396202,-0.00034248299007494495,-0.04195567167642616,-0.002119501780236567,0.7655055450715975,0.9020861987477882,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
STOCH_SLOWK,0.044253963256000686,0.05173640836958171,0.039342860321312824,0.044253963256000686,0.04901838716440883,-0.004207289791108208,-0.03250085654559733,0.794630217902791,0.7543132918888439,0.7418026596532065,0.7418026596532067,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
