,SMA,EMA,BBAND_Upper,BBAND_Middle,BBAND_Lower,HT_TRENDLINE,SAR,RSI,MOM,ROC,ROCP,OBV,AD,HT_DCPERIOD,HT_TRENDMODE,AVGPRICE,TYPPRICE,ATR,BETA,LINEARREG,VAR,EXP,LN,CDLENGULFING,CDLDOJI,CDLHAMMER,CDLHANGINGMAN
SMA,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
EMA,0.9781924300566909,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Upper,0.8928459182513008,0.8778269840289001,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Middle,1.0,0.9781924300566909,0.8928459182513008,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BBAND_Lower,0.9033143572173584,0.8825030446715986,0.6484127041002344,0.9033143572173584,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_TRENDLINE,0.7548748338884608,0.762633091756352,0.7004128434371125,0.7548748338884608,0.673888142224753,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
SAR,-0.6227018149325175,-0.630357936739373,-0.590738899897821,-0.6227018149325175,-0.5697803836518099,-0.6275956924582274,0.9473684210526315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
RSI,0.09162634016036048,0.18410940208970517,0.07975751844923439,0.09162634016036048,0.08430150038129065,-0.19896551442803465,0.07598480915102691,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
MOM,-0.019532075897838258,0.08759644400669786,-0.00820382370409932,-0.019532075897838258,-0.029661063478363742,-0.220717701604903,0.09303609806704806,0.7976046947568034,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ROC,-0.024938038378818705,0.08202345433647483,-0.007885565620871601,-0.024938038378818705,-0.03962416443062233,-0.22288806120637458,0.08324852167310427,0.7921356740329817,0.9948309347800073,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ROCP,-0.024938038378818698,0.08202345433647482,-0.007885565620871624,-0.024938038378818698,-0.03962416443062234,-0.2228880612063746,0.08324852167310418,0.7921356740329819,0.9948309347800071,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
OBV,0.6025025104372311,0.6553739057263837,0.5657154652587361,0.6025025104372311,0.5447355847501307,0.39009523243570826,-0.5036975835746178,0.4519221790304381,0.3434004360192663,0.3377491839902129,0.3377491839902128,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AD,0.4836160253529103,0.5180246798712971,0.4656605913326495,0.4836160253529103,0.4326396687075487,0.3160751000931403,-0.31519537695742234,0.3435446791639609,0.24966893637922535,0.24438666875584356,0.2443866687558435,0.5381599921245147,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_DCPERIOD,0.05913575848224637,0.058028210841750576,0.05892150804353468,0.05913575848224637,0.047214129907376994,-0.027603573435381806,-0.010041376299280948,0.016264633465264983,-0.009284026283157878,-0.011761028345812455,-0.011761028345812477,0.04694440224881772,0.05446247892615769,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
HT_TRENDMODE,0.01623391203458961,0.013033001683004563,0.10464237795576214,0.01623391203458961,-0.0732493994749149,-0.051265706272307705,-0.020282042682143474,0.09674990728045538,0.06431944726543296,0.05818882592508334,0.05818882592508338,0.05931814187712803,0.03897014722266525,0.07551301611091088,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
AVGPRICE,0.8048343942405812,0.8760916552461072,0.7344791188826778,0.8048343942405812,0.7363634805734144,0.5357183706922977,-0.5371262173870199,0.5253450780795655,0.401287579766488,0.39520813404640487,0.39520813404640504,0.7353727872060581,0.5650133685488246,0.04349864626053384,0.03044531693831628,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
TYPPRICE,0.7961487925111451,0.8685761202803364,0.7267784184809477,0.7961487925111451,0.7287590880957907,0.5275868632222558,-0.5355093960576814,0.5442127616753818,0.41297716558427305,0.40685584126384106,0.40685584126384094,0.7403159623455828,0.5707060289155154,0.04316228502285701,0.03152748515996411,0.9974149006765745,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ATR,-0.07641679742928771,-0.08319120268276946,0.11485843161360441,-0.07641679742928771,-0.24261834286606254,-0.010427079822371262,-0.006408571060859527,-0.12230293039788237,-0.07913323870267064,-0.07702141241525896,-0.07702141241525896,-0.050247779301122356,-0.05431973778334148,0.035066329312808044,0.08311035990159098,-0.0935004588258309,-0.09356319247066346,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BETA,-0.026863964043385476,-0.0413289590626906,-0.010223543677143093,-0.026863964043385476,-0.04205596621707295,0.003487364882421907,0.05364394212352815,-0.13377248693801694,-0.1373409660454339,-0.13511603578010237,-0.1351160357801024,-0.044287561692873546,-0.03220682837241904,0.013577365584250746,-0.02148040768718642,-0.077275494257253,-0.08213839205279441,0.07626392865015114,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
LINEARREG,0.8293175107044606,0.8918492516889887,0.7600629371406102,0.8293175107044606,0.7587795834227244,0.5291926825537094,-0.5325022714662533,0.4590608350132519,0.42164968425715965,0.41570732644640634,0.4157073264464064,0.7036201646798874,0.5557545598160839,0.04843114713093167,0.03661131225710276,0.9479609752719469,0.942439531775738,-0.10724581244929504,-0.07304270023305218,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
VAR,-0.03649745277805758,-0.03183241716299038,0.3247341135588348,-0.03649745277805758,-0.37444356578625726,0.0127201224622475,-0.04606953080371506,0.011747537861890624,0.05766635586419551,0.07399745719440187,0.0739974571944018,0.015694773544085626,0.013534687237937753,-0.008061337558952822,0.19872683269799693,-0.02174863260327865,-0.021747840703541778,0.4492335878805241,0.025645050161097784,-0.018193271928566745,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
EXP,0.5611371200657378,0.6204296275922349,0.5399617118165573,0.5611371200657378,0.484446517261805,0.37624547038824235,-0.40104225520826775,0.45222092213425585,0.3395852108190371,0.33317070731576687,0.333170707315767,0.5488814456454794,0.426837072682585,0.04302868348234756,0.04849573511753749,0.7223606759874688,0.7296997929784146,-0.08438864392731549,-0.06575442993369955,0.6742783870041338,0.03333269670771629,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
LN,0.7716914950857372,0.8454437767194164,0.705500635816741,0.7716914950857372,0.7078235762268091,0.5074289296621639,-0.5237827233324215,0.5797770866306395,0.43484990559230235,0.42722981674444316,0.42722981674444327,0.7442331422984227,0.5855331387728862,0.041766768033966596,0.034930560934294135,0.9791608961787359,0.9875947523511761,-0.0898772161019235,-0.08806108489158394,0.9253252670938252,-0.021273981043013816,0.7248062554907719,1.0,-1.0,-1.0,-1.0,-1.0
CDLENGULFING,-0.015742298156967732,-0.0168515619673933,-0.004408459242250111,-0.015742298156967732,-0.023212228130088632,-0.018015008136936156,0.023438013301675338,0.06107286902682539,0.045642337402837636,0.046735366582313066,0.046735366582313094,0.020276512153582577,0.03462178985831174,0.002591992330510397,0.006571661831895501,-0.0199002902940413,-0.005985499191668123,-0.007825444695567322,-0.027376601658425318,-0.01301720040579361,-0.0011844186211742152,0.015273504423055959,0.01822451661577352,1.0,-1.0,-1.0,-1.0
CDLDOJI,0.004030733560211702,0.003891415461857933,-0.0017737680840578258,0.004030733560211702,0.008189679939995413,-0.008328494957996032,0.0011976071480931875,0.004905334828583989,0.002583884221909093,0.0022265530821409946,0.0022265530821409755,0.007158159692038246,0.0013849335330744792,0.0014093716892325731,0.011958941321322582,0.006574532304041213,0.0067002789132252286,-0.03311482425647463,-0.017427733927867763,0.003906288810937302,-0.00939163312938041,0.0014250312176989767,0.005516133701278909,0.00871874988061674,1.0,-1.0,-1.0
